chrom	start	end	num	list	SRR1665054.sam_MENA_rubella.bed	SRR1665063.sam_MENA_rubella.bed	SRR1665070.sam_MENA_rubella.bed	SRR6382384.sam_MENA_rubella.bed	SRR6382386.sam_MENA_rubella.bed	SRR6382397.sam_MENA_rubella.bed	SRR8904463.sam_MENA_rubella.bed	SRR8904466.sam_MENA_rubella.bed
jlSCF_12	11059372	11123732	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_12	11123732	11271408	1	7	0	0	0	0	0	0	1	0
jlSCF_12	11371876	11522741	1	7	0	0	0	0	0	0	1	0
jlSCF_12	11610441	11777893	1	7	0	0	0	0	0	0	1	0
jlSCF_12	11777893	11798718	2	2,7	0	1	0	0	0	0	1	0
jlSCF_12	11798718	12029451	1	7	0	0	0	0	0	0	1	0
jlSCF_12	12106204	12164611	1	7	0	0	0	0	0	0	1	0
jlSCF_12	12164611	12216691	8	1,2,3,4,5,6,7,8	1	1	1	1	1	1	1	1
jlSCF_12	12216691	12420917	1	7	0	0	0	0	0	0	1	0
jlSCF_12	12420917	12451328	7	1,2,3,4,5,7,8	1	1	1	1	1	0	1	1
jlSCF_12	12451328	12465785	1	7	0	0	0	0	0	0	1	0
jlSCF_12	12496729	12555203	1	7	0	0	0	0	0	0	1	0
jlSCF_12	12662761	12707842	1	7	0	0	0	0	0	0	1	0
